hash,name,text
2835164,DQ_15005_LOG_ZIEL,'Farmer Hank has his award-winning sheep back and I have learnt something new… sheep stink!<n>Quest completed.'
2979951,DQ_15013_OFFEN,'Please don’t forget the task that you have accepted.'
4183967,DQ_15054_LOG_OFFEN,'So, this is how a professional gladiator lives... a little cramped for such a huge guy!'
4790338,NQ_7618_LOG_OFFEN,'This area is infested with undead. Even the sailors seem to be scared of them. A pirate is hiding on an island and is struggling to fend them off. I will take five Potions of Undead Death to him. He desperately needs them to defend himself.'
5003676,NQ_UW9521_LOG_SIEG,'The Master Baker received his spice and he has given me some of his best cookies as a reward. These will surely help me with another task.'
5779093,NQ_BLDH13220_LOG_INTRO,"Why are you hesitating? Find the fifth element, the one of the void, and the 'Black Book of Sakkara' at Shaddar-Nur. "
6286864,DQ_15073_ZIEL,'At last! We have been waiting for this moment for a very long time. You made Gloomoor a safer place and we thank you wholeheartedly.'
8405225,DQ_15017_LOG_OFFEN,'This is the map. I will take it to Mortimer now.'
8927016,DQ8_TOETE_NPC_ZIEL10,'Magician'
8927017,DQ8_TOETE_NPC_ZIEL11,'Dark Elf'
8927018,DQ8_TOETE_NPC_ZIEL12,'DeMordreyan Soldier'
8927019,DQ8_TOETE_NPC_ZIEL13,'Robber'
8927020,DQ8_TOETE_NPC_ZIEL14,'Lich'
8927021,DQ8_TOETE_NPC_ZIEL15,'Poisonous Spider'
8927022,DQ8_TOETE_NPC_ZIEL16,'Nobleman'
8927023,DQ8_TOETE_NPC_ZIEL17,'Mummy'
8927024,DQ8_TOETE_NPC_ZIEL18,'Undead Mage'
9133009,DQ_15009_ZIEL,'Ah, marvelous. A quick sip… Wait, what is this? You bring me water? You really have no idea what a hard-working man needs. Oh well, no hard feelings. Water is better than nothing. Thank you, and next time please remember to bring me a cold beer.'
10103332,DQ2_BRINGE_NPC_ZIEL1,'Daughter'
10103333,DQ2_BRINGE_NPC_ZIEL2,'Son'
10103334,DQ2_BRINGE_NPC_ZIEL3,'Cow'
10103335,DQ2_BRINGE_NPC_ZIEL4,'Pig'
10103336,DQ2_BRINGE_NPC_ZIEL5,'Chicken'
10103337,DQ2_BRINGE_NPC_ZIEL6,'Horse'
10103338,DQ2_BRINGE_NPC_ZIEL7,'Forest Ranger'
10103339,DQ2_BRINGE_NPC_ZIEL8,'Medic'
10103340,DQ2_BRINGE_NPC_ZIEL9,'Nurse'
11369701,DQ_15070_LOG_OFFEN,'I take back almost everything I said about spiders. Quite a few of them had me worried this time. I shall make sure I am paid accordingly.'
12300516,DQ_15040_OFFEN,'Take your time. The stones will still be there tomorrow.'
12386170,DQ_15003_OFFEN,'Is that beast still alive? Hurry, every minute counts!'
14108502,DQ_15061_LOG_OFFEN,'This farm really is in the back of beyond. Still, with my help Mary will make it safely to South Hedgenton.'
15643626,NQ_RB18110_ABBRUCH,'I have nothing to say to you! '
16003265,NQ_DW2912_NPC_ZIEL,'I have killed a Glorb. These fetid creatures are meant to be a delicacy? Disgusting… I should take this Glorb to the Haduk village.'
17824425,DQ_15039_ZIEL,'Oh, my God! They are all dead! I am ruined. What am I going to do now?'
18846350,DQ16_TOETE_NPC_ZIEL10,'Magician'
18846351,DQ16_TOETE_NPC_ZIEL11,'Dark Elf'
18846352,DQ16_TOETE_NPC_ZIEL12,'DeMordreyan Soldier'
18846353,DQ16_TOETE_NPC_ZIEL13,'Robber'
18846354,DQ16_TOETE_NPC_ZIEL14,'Lich'
18846355,DQ16_TOETE_NPC_ZIEL15,'Poisonous Spider'
18846356,DQ16_TOETE_NPC_ZIEL16,'Nobleman'
18846357,DQ16_TOETE_NPC_ZIEL17,'Mummy'
18846358,DQ16_TOETE_NPC_ZIEL18,'Undead Mage'
19019700,DQ_15009_LOG_ZIEL,'The gravedigger’s thirst has been quenched. Now Hugh Tuburgh can continue with his duties and ensure that the bodies receive a dignified burial.<n>Quest completed.'
20137168,NQ_C10212_POST,'Blessed Spear of Reverence'
20260989,DQ_15067_OFFEN,'Remember, I need ten poison glands.'
23006062,NQ_7616_LOG_SIEG,'The undead magician no longer exists. Yet again, I have sent an evil creature back to the Depths of Death where it belongs. Somehow, I suspect that I haven’t seen the last of these undead beings…'
24390936,DQ_15043_LOG_OFFEN,'That was fun! You don’t see big folk like that around here often. Now I must quickly scoop up the spring water and take it back to Magician Fabian.'
24785996,DQ_15013_ZIEL,'You broke the siege and put the goblins in their place. Excellent work! Here, please accept your reward.'
29490547,DQ28_ZERSTOERE_NPC_ZIEL96_HEADER,'Speak to the unkempt sorcerer. He will be able to help you.'
29846781,NQ_13281_LOG_NPC_ZIEL,'Fleeing Enemies Die Instantly'
30825531,Q_20252_LOG_HEADER,'Now go the way of your uneducated followers!'
32791040,NQ_C1490_TITLE,'<exhausted basic breathing>'
33611197,NQ_RB34_LOG_NPC_ZIEL,'Go to the demon to receive your reward.<n><n>I will point you in the right direction. Find him and be rewarded for all your efforts.'
33913713,DQ_15068_LOG_OFFEN,'Not many adventurers would survive an encounter with such a beast. Sigurd did not exaggerate.'
36690889,DQ_15024_LOG_OFFEN,'He took the first shot, at least I can say that. Alundir Mordir is dead and I should be able to complete my task without encountering any more problems. Lady Miller will be happy to receive the good news.'
36847607,DQ10_BRINGE_NPC_ZIEL1,'Daughter'
36847608,DQ10_BRINGE_NPC_ZIEL2,'Son'
36847609,DQ10_BRINGE_NPC_ZIEL3,'Cow'
36847610,DQ10_BRINGE_NPC_ZIEL4,'Pig'
36847611,DQ10_BRINGE_NPC_ZIEL5,'Chicken'
36847612,DQ10_BRINGE_NPC_ZIEL6,'Horse'
36847613,DQ10_BRINGE_NPC_ZIEL7,'Forest Ranger'
36847614,DQ10_BRINGE_NPC_ZIEL8,'Medic'
36847615,DQ10_BRINGE_NPC_ZIEL9,'Midwife'
37393845,NQ_WD1228_LOG_POST,'Cry of pain #2'
37926751,DQ_15084_LOG_OFFEN,'I have found the lock of hair. It is certainly strange, to find someone in this wasteland who is looking for a lock of hair…<n>'
39936799,NQ_OWWB28724_LOG_TITLE,'To the Valley of Tears'
44315268,Q_11926_LOG_WARN,'Thank you for saving me from these dogs. Oh, I fear for my sisters and the Seraphim at Bellevue Abbey. '
